3.94	36	0	22.24
3.18	18	0	25.3

2.96	26.8	1.5	34
4.39	40.4	1	19.84

2.8	26.1	0.5	22.7


4.15	38	1	19.72
3.51	32.1	0.5	58.32
4.45	60.7	0.5	38.18
3.654	65	0	23.62
4.5	60.4	2.5	15.28

4.106	71.8	4	21.48
4.12	72.75	4	17
4.265	57.775	1.9	33.25
4.395	39	0	20.36666667
4.4	76.25	1	23.325
3.9	69.125	0.5	52.1
3.5275	75.875	0.5	29.2
3.4	73.8	1	31.38
3.2125	70	0	35.85
3.925	69	0	41.1
6	70.5	1	9

2.6	36	0	33.1
3	41	0	31.3
2.97	40.9	6	35.86
2.3	31	0	28.34
5.025	26.25	3.5	39.65
3.583333333	63.66666667	3	25.2
4.475	60.75	0.5	25.85
3	23.4	0	52
3.55	52	0	12.525
2.8	38	4	13.4
3.424	61.2	2	42.24
4.748	63	5	15.925
4.5625	61	2	11.1
2.816666667	39	0	24.2
2.91	50.3	4	17.94
2.9	43.5	4.5	30.74

2.316666667	32.66666667	0.5	13.2
4.67	41.2	3	13.88
2.226666667	42.5	1	48.36666667
4.6	61.5	1	27.2
3.64	64.6	1	34.74

4.54	41.3	1	23.36
3.2	29.825	0.2	36
2.62	38.4	1	31.28
4.6575	62.875	2	41.325

3.25	45.33333333	0.5	33.46666667
3.9	69	0	28.98
5.24	70.4	1	24.02
